id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan
,,40000,40000,40000, 36 months,6.46%,1225.24,A,A1,Sr. Systems Engineer - Team Lead,7 years,MORTGAGE,117000,Source Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,8.19%,251.4,A,A4,,< 1 year,MORTGAGE,54000,Not Verified,Mar-19,Issued,n
,,12800,12800,12800, 60 months,12.40%,287.33,B,B4,Underwritier,3 years,MORTGAGE,78000,Not Verified,Mar-19,Issued,n
,,35200,35200,35200, 60 months,13.90%,817.22,C,C1,Account Executive,5 years,MORTGAGE,170000,Verified,Mar-19,Issued,n
,,8400,8400,8400, 36 months,13.90%,286.69,C,C1,,n/a,RENT,21000,Not Verified,Mar-19,Issued,n
,,17000,17000,17000, 60 months,15.57%,409.54,C,C3,Operator,2 years,RENT,52000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,13.08%,337.33,B,B5,Revenue Cycle Director,< 1 year,MORTGAGE,160000,Source Verified,Mar-19,Issued,n
,,12500,12500,12500, 36 months,6.46%,382.89,A,A1,Tax Administrator,10+ years,MORTGAGE,86000,Not Verified,Mar-19,Issued,n
,,32200,32200,32200, 60 months,17.97%,817.15,D,D1,Senior Pastor,10+ years,MORTGAGE,70000,Source Verified,Mar-19,Issued,n
,,24000,24000,24000, 60 months,28.80%,758.89,D,D5,Chef,7 years,MORTGAGE,95000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,20.00%,264.94,D,D2,Trainer ,6 years,RENT,72000,Verified,Mar-19,Issued,n
,,8400,8400,8400, 36 months,8.81%,266.38,A,A5,,n/a,MORTGAGE,72000,Verified,Mar-19,Issued,n
,,1000,1000,1000, 36 months,7.02%,30.89,A,A2,,n/a,RENT,14000,Verified,Mar-19,Issued,n
,,24950,24950,24950, 60 months,14.74%,590.16,C,C2,Teacher,7 years,RENT,59932,Source Verified,Mar-19,Issued,n
,,35000,35000,35000, 60 months,16.40%,858.59,C,C4,train conductor,10+ years,MORTGAGE,90000,Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,15.57%,698.91,C,C3,Ultrasound technician ,1 year,RENT,80000,Verified,Mar-19,Issued,n
,,9000,9000,9000, 36 months,12.40%,300.66,B,B4,Foreman,5 years,OWN,50000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,8.81%,475.68,A,A5,Coordinator ,2 years,RENT,60000,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,17.97%,634.43,D,D1,Master plumber and pipefitter,3 years,RENT,75000,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,14.74%,863.46,C,C2,Service Manager ,10+ years,OWN,55000,Source Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,17.19%,428.97,C,C5,Foreman,8 years,OWN,110000,Source Verified,Mar-19,Issued,n
,,12500,12500,12500, 60 months,20.00%,331.18,D,D2,Assistant Fullon Leader ,7 years,RENT,55000,Source Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,6.46%,612.62,A,A1,,< 1 year,RENT,270000,Not Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,8.81%,253.7,A,A5,teacher,6 years,RENT,52000,Source Verified,Mar-19,Issued,n
,,18000,18000,18000, 36 months,13.08%,607.19,B,B5,Employment specialist ,2 years,RENT,54000,Source Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,6.46%,367.57,A,A1,First Class Petty Ofiicer,10+ years,MORTGAGE,75000,Not Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,6.46%,367.57,A,A1,CSR,1 year,MORTGAGE,40000,Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,15.57%,481.81,C,C3,Lab Tech,10+ years,RENT,44000,Source Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,7.56%,622.68,A,A3,,< 1 year,RENT,220000,Not Verified,Mar-19,Issued,n
,,5000,5000,4750, 36 months,13.08%,168.67,B,B5,,10+ years,MORTGAGE,56000,Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,10.33%,810.56,B,B1,V.P. Sales,2 years,RENT,180000,Source Verified,Mar-19,Issued,n
,,2000,2000,2000, 36 months,28.80%,83.6,D,D5,,3 years,RENT,24000,Source Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,12.40%,167.03,B,B4,financial counselor,7 years,RENT,55000,Not Verified,Mar-19,Issued,n
,,18000,18000,18000, 60 months,15.57%,433.63,C,C3,top drive technician,7 years,MORTGAGE,150000,Source Verified,Mar-19,Current,n
,,17625,17625,17625, 36 months,15.57%,615.91,C,C3,Transporter Specialist,2 years,RENT,42000,Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,8.19%,509.19,A,A4,Distribution Director,10+ years,MORTGAGE,100000,Source Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,7.56%,155.67,A,A3,Foster Mom,10+ years,MORTGAGE,56000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,16.40%,353.55,C,C4,Sales Rep,8 years,MORTGAGE,126000,Source Verified,Mar-19,Issued,n
,,12000,12000,12000, 60 months,11.02%,261.03,B,B2,COTA,2 years,RENT,90000,Source Verified,Mar-19,Issued,n
,,5500,5500,5500, 36 months,7.02%,169.88,A,A2,ramp agent,10+ years,MORTGAGE,60000,Not Verified,Mar-19,Issued,n
,,40000,40000,40000, 36 months,6.46%,1225.24,A,A1,Charge RN Nurse,10+ years,MORTGAGE,198000,Source Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,8.19%,509.19,A,A4,Technician,5 years,MORTGAGE,69900,Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,11.71%,496.14,B,B3,Owner,10+ years,OWN,85000,Not Verified,Mar-19,Issued,n
,,33000,33000,33000, 36 months,13.90%,1126.26,C,C1,Director of Operations,1 year,MORTGAGE,65000,Source Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,11.02%,543.81,B,B2,Vice President of Engagement,1 year,MORTGAGE,115000,Verified,Mar-19,Issued,n
,,16000,16000,16000, 36 months,20.00%,594.62,D,D2,,< 1 year,MORTGAGE,75000,Not Verified,Mar-19,Issued,n
,,30000,30000,30000, 36 months,17.19%,1072.43,C,C5,Manufacturing Planner ,< 1 year,RENT,72000,Not Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,28.80%,505.93,D,D5,Maintenance,5 years,OWN,75000,Verified,Mar-19,Issued,n
,,30000,30000,30000, 36 months,15.57%,1048.36,C,C3,Security Consultant,2 years,RENT,87000,Source Verified,Mar-19,Current,n
,,15000,15000,15000, 36 months,8.19%,471.37,A,A4,graphic artist,10+ years,OWN,38500,Source Verified,Mar-19,Issued,n
,,24000,24000,24000, 36 months,16.40%,848.52,C,C4,Laborer ,3 years,MORTGAGE,24000,Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,8.81%,317.12,A,A5,Sr Network Engineer,1 year,RENT,124000,Source Verified,Mar-19,Issued,n
,,18000,18000,18000, 60 months,15.57%,433.63,C,C3,Production Specialist,10+ years,OWN,40000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,7.56%,467.01,A,A3,Technicsion,10+ years,MORTGAGE,72000,Source Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,7.02%,617.73,A,A2,Project Manager,10+ years,MORTGAGE,100000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,7.02%,463.3,A,A2,mechanic,10+ years,OWN,37000,Source Verified,Mar-19,Issued,n
,,24000,24000,24000, 60 months,13.08%,547.06,B,B5,national news correspondent,4 years,RENT,80000,Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,11.02%,163.75,B,B2,Accounts Payable Processor,< 1 year,RENT,49000,Not Verified,Mar-19,Issued,n
,,17400,17400,17400, 36 months,15.57%,608.05,C,C3,Technical Project Manager,6 years,MORTGAGE,128290,Source Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,8.19%,471.37,A,A4,Office Manager,3 years,RENT,65000,Source Verified,Mar-19,Issued,n
,,6000,6000,6000, 36 months,6.46%,183.79,A,A1,ADMINISTRATION,10+ years,MORTGAGE,49000,Not Verified,Mar-19,Issued,n
,,7000,7000,7000, 36 months,11.71%,231.54,B,B3,Dry pack forklift,< 1 year,RENT,38000,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,11.02%,654.97,B,B2,General Warehouse Associate ,1 year,MORTGAGE,35000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,17.19%,357.48,C,C5,,< 1 year,MORTGAGE,50000,Not Verified,Mar-19,Issued,n
,,18800,18800,18800, 36 months,6.46%,575.86,A,A1,Software Engineer,10+ years,MORTGAGE,140000,Not Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,16.40%,282.84,C,C4,,n/a,MORTGAGE,50000,Verified,Mar-19,Issued,n
,,2400,2400,2125, 36 months,10.33%,77.82,B,B1,Director,10+ years,RENT,72000,Not Verified,Mar-19,Issued,n
,,1800,1800,1800, 36 months,17.19%,64.35,C,C5,,< 1 year,RENT,54776,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,11.02%,326.29,B,B2,client services ,3 years,MORTGAGE,72500,Not Verified,Mar-19,Issued,n
,,9000,9000,9000, 36 months,14.74%,310.85,C,C2,Builder,10+ years,RENT,54500,Not Verified,Mar-19,Issued,n
,,6000,6000,6000, 36 months,22.50%,230.7,D,D3,Receptionalist,1 year,MORTGAGE,18000,Verified,Mar-19,Issued,n
,,4000,4000,4000, 36 months,11.02%,131,B,B2,Supply Chain Planner,10+ years,MORTGAGE,79000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,13.90%,341.3,C,C1,,n/a,OWN,13808,Verified,Mar-19,Issued,n
,,40000,40000,40000, 36 months,6.46%,1225.24,A,A1,,< 1 year,RENT,150000,Not Verified,Mar-19,Issued,n
,,3600,3600,3600, 36 months,12.40%,120.27,B,B4,Server,< 1 year,RENT,21540,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,16.40%,353.55,C,C4,,< 1 year,ANY,154000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,8.19%,305.52,A,A4,,n/a,RENT,46000,Not Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,20.00%,794.82,D,D2,administrative director,1 year,MORTGAGE,140000,Source Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,12.40%,448.95,B,B4,Technician ,< 1 year,RENT,100000,Not Verified,Mar-19,Issued,n
,,39500,39500,39500, 60 months,8.19%,804.52,A,A4,Procurement Specialist,2 years,MORTGAGE,105000,Source Verified,Mar-19,Issued,n
,,23000,23000,23000, 60 months,13.90%,533.98,C,C1,Stocker,10+ years,MORTGAGE,56000,Source Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,13.90%,853.23,C,C1,Network admin,1 year,RENT,72000,Source Verified,Mar-19,Current,n
,,10000,10000,10000, 36 months,17.19%,357.48,C,C5,Mechanic,< 1 year,RENT,45000,Not Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,6.46%,245.05,A,A1,Personal housekeeper ,5 years,RENT,32500,Source Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,13.90%,682.59,C,C1,Petroleum Landman,< 1 year,RENT,48000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,8.81%,475.68,A,A5,Floor Foreman,10+ years,RENT,78000,Not Verified,Mar-19,Current,n
,,30000,30000,30000, 36 months,8.81%,951.35,A,A5,Implementation Consultant,2 years,MORTGAGE,63000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,15.57%,361.36,C,C3,,n/a,OWN,20208,Verified,Mar-19,Issued,n
,,10200,10200,10200, 36 months,13.90%,348.12,C,C1,Appeals Resolution Analyst Sr,10+ years,MORTGAGE,110000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,15.57%,240.91,C,C3,Respiratory therapist,9 years,MORTGAGE,125000,Source Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,11.02%,491.23,B,B2,Social Media Manager,1 year,RENT,52000,Source Verified,Mar-19,Issued,n
,,18000,18000,18000, 36 months,28.80%,752.35,D,D5,Instructor,4 years,MORTGAGE,55200,Source Verified,Mar-19,Issued,n
,,32000,32000,32000, 60 months,17.19%,798.56,C,C5,Technician III,3 years,RENT,65000,Verified,Mar-19,Issued,n
,,6750,6750,6750, 36 months,15.57%,235.88,C,C3,Charge nurse,8 years,RENT,68000,Not Verified,Mar-19,Issued,n
,,27000,27000,27000, 60 months,13.08%,615.44,B,B5,Paramedic,2 years,MORTGAGE,110000,Verified,Mar-19,Issued,n
,,20000,20000,20000, 60 months,20.00%,529.88,D,D2,Pharmacy Tech,10+ years,RENT,65000,Not Verified,Mar-19,Issued,n
,,22000,22000,22000, 36 months,8.81%,697.66,A,A5,Architect,10+ years,MORTGAGE,56900,Verified,Mar-19,Issued,n
,,40000,40000,40000, 36 months,11.02%,1309.93,B,B2,,< 1 year,MORTGAGE,150000,Source Verified,Mar-19,Issued,n
,,10800,10800,10800, 60 months,8.19%,219.97,A,A4,Payroll Coordinator,10+ years,OWN,65000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,20.00%,264.94,D,D2,Home Health Aide,5 years,RENT,26000,Not Verified,Mar-19,Issued,n
,,19500,19500,19500, 36 months,6.46%,597.31,A,A1,Autobody Technician,6 years,MORTGAGE,100000,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,17.19%,536.22,C,C5,,n/a,MORTGAGE,79000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,11.71%,330.76,B,B3,Sales representative ,4 years,RENT,54000,Not Verified,Mar-19,Current,n
,,20000,20000,20000, 60 months,12.40%,448.95,B,B4,Technical Analyst,8 years,MORTGAGE,100000,Source Verified,Mar-19,Issued,n
,,6000,6000,6000, 36 months,6.46%,183.79,A,A1,CNA,1 year,RENT,105000,Not Verified,Mar-19,Issued,n
,,21000,21000,21000, 36 months,8.19%,659.91,A,A4,,< 1 year,MORTGAGE,45000,Source Verified,Mar-19,Issued,n
,,32600,32600,32600, 36 months,20.00%,1211.54,D,D2,HUC,10+ years,RENT,10000,Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,16.40%,353.55,C,C4,Machine operator,10+ years,MORTGAGE,60000,Source Verified,Mar-19,Issued,n
,,18000,18000,18000, 60 months,10.33%,385.38,B,B1,Dean,9 years,MORTGAGE,95000,Source Verified,Mar-19,Issued,n
,,14400,14400,14400, 36 months,13.08%,485.75,B,B5,Delivery Advisor,2 years,RENT,87000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,20.00%,371.64,D,D2,Accounting,< 1 year,RENT,45000,Not Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,7.02%,370.64,A,A2,Atm technician ,10+ years,OWN,42000,Verified,Mar-19,Current,n
,,6575,6575,6575, 36 months,17.97%,237.61,D,D1,Wealth advisory assistant,1 year,RENT,60000,Source Verified,Mar-19,Issued,n
,,30800,30800,30800, 60 months,16.40%,755.56,C,C4,Special Education Paraprofessional,5 years,RENT,12000,Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,14.74%,172.7,C,C2,,n/a,MORTGAGE,49680,Not Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,10.33%,321.15,B,B1,,n/a,MORTGAGE,72000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,11.71%,220.99,B,B3,Registered Nurse  ,3 years,MORTGAGE,58000,Source Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,15.57%,174.73,C,C3,Sergeant First Class,10+ years,MORTGAGE,55000,Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,14.74%,276.31,C,C2,Academy Department Manager,10+ years,OWN,40000,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 60 months,10.33%,535.25,B,B1,Lab Supervisor,5 years,MORTGAGE,102000,Not Verified,Mar-19,Issued,n
,,11000,11000,11000, 60 months,20.00%,291.44,D,D2,,n/a,MORTGAGE,51216,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,8.81%,317.12,A,A5,Senior Customer Support Manager,< 1 year,RENT,50000,Not Verified,Mar-19,Issued,n
,,30000,30000,30000, 60 months,10.33%,642.3,B,B1,,< 1 year,MORTGAGE,100000,Source Verified,Mar-19,Current,n
,,12000,12000,12000, 60 months,17.97%,304.53,D,D1,Help Desk Administrator,10+ years,OWN,51974,Source Verified,Mar-19,Issued,n
,,15000,15000,15000, 60 months,17.19%,374.33,C,C5,Assistant Manager ,10+ years,RENT,42000,Verified,Mar-19,Issued,n
,,8250,8250,8250, 36 months,12.40%,275.6,B,B4,Loan processor,1 year,MORTGAGE,125000,Not Verified,Mar-19,Issued,n
,,11000,11000,11000, 60 months,8.19%,224.05,A,A4,,n/a,MORTGAGE,30800,Verified,Mar-19,Issued,n
,,15000,15000,15000, 36 months,11.02%,491.23,B,B2,Carpenter ,3 years,MORTGAGE,56532,Not Verified,Mar-19,Issued,n
,,6000,6000,6000, 36 months,17.19%,214.49,C,C5,Registered Nurse,3 years,OWN,60000,Not Verified,Mar-19,Issued,n
,,3450,3450,3450, 36 months,7.02%,106.56,A,A2,Education Coordinator ,10+ years,RENT,35602,Source Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,17.19%,285.98,C,C5,,< 1 year,OWN,52000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,8.19%,314.25,A,A4,,< 1 year,MORTGAGE,58000,Source Verified,Mar-19,Issued,n
,,2200,2200,2200, 36 months,7.56%,68.5,A,A3,Maintenance ,10+ years,MORTGAGE,90000,Not Verified,Mar-19,Issued,n
,,3000,3000,3000, 36 months,17.97%,108.42,D,D1,,< 1 year,OWN,21000,Source Verified,Mar-19,Issued,n
,,22000,22000,22000, 60 months,20.00%,582.87,D,D2,"Truck Driver, Road Department",10+ years,RENT,82000,Source Verified,Mar-19,Issued,n
,,9600,9600,9600, 36 months,17.97%,346.92,D,D1,Administrative Assistant,7 years,RENT,34000,Source Verified,Mar-19,Issued,n
,,40000,40000,40000, 60 months,13.08%,911.77,B,B5,Director Wealth Advisory Services,5 years,MORTGAGE,225000,Source Verified,Mar-19,Issued,n
,,15800,15800,15800, 60 months,16.40%,387.6,C,C4,inventory manager ,4 years,MORTGAGE,62000,Source Verified,Mar-19,Current,n
,,10000,10000,10000, 60 months,13.08%,227.95,B,B5,certified master technician,6 years,MORTGAGE,90000,Not Verified,Mar-19,Issued,n
,,27075,27075,27075, 60 months,28.80%,856.12,D,D5,Sr. Agile Coach,1 year,OWN,165000,Verified,Mar-19,Issued,n
,,28000,28000,28000, 60 months,11.71%,618.75,B,B3,Fire alarm technician,9 years,RENT,78000,Source Verified,Mar-19,Issued,n
,,21000,21000,21000, 60 months,13.08%,478.68,B,B5,Trooper,10+ years,MORTGAGE,110000,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,6.46%,306.31,A,A1,Tax,8 years,MORTGAGE,59000,Not Verified,Mar-19,Fully Paid,n
,,23500,23500,23500, 60 months,12.40%,527.51,B,B4,Loan Officer,6 years,OWN,85000,Not Verified,Mar-19,Issued,n
,,26000,26000,26000, 60 months,8.19%,529.56,A,A4,Hvac tech,10+ years,MORTGAGE,86000,Source Verified,Mar-19,Issued,n
,,2000,2000,2000, 36 months,8.19%,62.85,A,A4,,< 1 year,RENT,25000,Source Verified,Mar-19,Issued,n
,,20475,20475,20475, 36 months,15.57%,715.51,C,C3,Flight attendant ,3 years,RENT,20000,Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,16.40%,176.78,C,C4,Conductor,10+ years,MORTGAGE,108000,Source Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,8.19%,251.4,A,A4,Technoglist,10+ years,MORTGAGE,92000,Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,6.46%,306.31,A,A1,Payment Services Management ,5 years,MORTGAGE,62000,Source Verified,Mar-19,Issued,n
,,11000,11000,11000, 36 months,13.08%,371.06,B,B5,housekeeper,10+ years,RENT,61575,Not Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,14.74%,172.7,C,C2,Accounting ,10+ years,RENT,60000,Not Verified,Mar-19,Issued,n
,,10500,10500,10500, 36 months,17.19%,375.35,C,C5,Letter Carrier,10+ years,RENT,65000,Source Verified,Mar-19,Issued,n
,,32000,32000,32000, 36 months,17.19%,1143.92,C,C5,Director of Nursing,9 years,RENT,130000,Verified,Mar-19,Issued,n
,,40000,40000,40000, 36 months,11.02%,1309.93,B,B2,President,10+ years,MORTGAGE,510000,Source Verified,Mar-19,Issued,n
,,14775,14775,14775, 60 months,28.80%,467.19,D,D5,,< 1 year,MORTGAGE,120000,Source Verified,Mar-19,Issued,n
,,16000,16000,16000, 60 months,22.50%,446.47,D,D3,Food service ,10+ years,RENT,95000,Source Verified,Mar-19,Issued,n
,,11325,11325,11325, 60 months,8.19%,230.67,A,A4,Authorizations Manager,2 years,MORTGAGE,90000,Not Verified,Mar-19,Issued,n
,,6000,6000,6000, 36 months,11.02%,196.49,B,B2,Manager,10+ years,MORTGAGE,73000,Not Verified,Mar-19,Issued,n
,,6000,6000,6000, 36 months,13.90%,204.78,C,C1,Mailcarrier,10+ years,MORTGAGE,62648,Source Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,13.90%,232.17,C,C1,Meeting Coordinator ,10+ years,RENT,39000,Verified,Mar-19,Issued,n
,,4200,4200,4200, 36 months,11.02%,137.55,B,B2,Deliveryman,10+ years,RENT,52638,Source Verified,Mar-19,Issued,n
,,4800,4800,4800, 36 months,7.02%,148.26,A,A2,Provider Training,10+ years,MORTGAGE,51000,Not Verified,Mar-19,Issued,n
,,33000,33000,33000, 36 months,13.08%,1113.18,B,B5,Onsite tech ,2 years,RENT,120000,Verified,Mar-19,Issued,n
,,12000,12000,12000, 60 months,10.33%,256.92,B,B1,Design Manager,10+ years,MORTGAGE,50000,Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,12.40%,668.12,B,B4,Manager ,4 years,RENT,96000,Not Verified,Mar-19,Issued,n
,,8000,8000,8000, 36 months,17.19%,285.98,C,C5,,n/a,RENT,18432,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,8.81%,792.79,A,A5,"Sr Director, Marketing and Development",5 years,MORTGAGE,90000,Source Verified,Mar-19,Issued,n
,,22000,22000,22000, 60 months,20.00%,582.87,D,D2,Supervisor,1 year,OWN,65000,Verified,Mar-19,Issued,n
